comment,label
itna bekaar kaam tumhe sharam nahi aati?,severe
ye baat bilkul galat hai soch lo,warning
tumhara koi ilaaj nahi bas ruk ja,severe
gandu aadmi hat pagle !,severe
hello useful info saved it,safe
bas ab aur sunna nahi tum saale paagal ho,severe
arre ghatiya kaam kiya tumne,warning
this helped me a lot thanks,safe
good job yaar shandar!,safe
saala bakwas banda hat ja !!,severe
arre please bhai thoda mature bano,warning
bakwas band kar samajh nahi aata kya?,warning
chalo theek hai par agli baar dhyaan rakho bas,warning
tera dimag kharab hai yaar !!,severe
arey ghatiya kaam kiya tumne,warning
gandu aadmi hat pagle,severe
please bhai thoda mature bano,warning
hi kya aap isko thoda aur detail mein bata sakte ho?,safe
tu bilkul chutiya hai bhag,severe
bakwas band kar samajh nahi aata kya?,warning
ghatiya kaam kiya tumne,warning
arre tumse expect nahi tha thoda behtar karo abhi,warning
can you explain this please? kya kar rahe ho?,safe
jyada bakwaas mat kar yaar,warning
stop karo ye faltu posts,warning
thanks for sharing bahut useful hai,safe
ghatiya kaam kiya tumne,warning
ye baat bilkul galat hai soch lo,warning
arey ghatiya kaam kiya tumne,warning
saala bakwas banda hat ja,severe
thanks for sharing bahut useful hai,safe
saala bakwas banda hat ja,severe
please bhai thoda mature bano,warning
hi hey shaam karo,safe
useful info saved it,safe
jyada bakwaas mat kar yaar,warning
tumse expect nahi tha thoda behtar karo,warning
itna bekaar kaam tumhe sharam nahi aati?,severe
please bhai thoda mature bano,warning
can you explain this please? kya kar rahe ho?,safe
tera dimag kharab hai yaar !!,severe
gandu aadmi hat pagle !!,severe
thanks for sharing bahut useful hai,safe
great work keep it up!,safe
hello i agree with you on this point,safe
arre tumse expect nahi tha thoda behtar karo,warning
bakwas band kar samajh nahi aata kya?,warning
bas ab aur sunna nahi tum saale paagal ho,severe
kya bakwaas likhta hai tu band kar hatao !!,severe
i agree with you on this point,safe
saala bakwas banda hat ja,severe
please bhai thoda mature bano,warning
ghatiya insaan ho tum saala,severe
kya aap isko thoda aur detail mein bata sakte ho?,safe
hi interesting point mujhe pasand aaya,safe
tumhara koi ilaaj nahi bas ruk ja,severe
hello thanks for sharing bahut useful hai,safe
stop karo ye faltu posts,warning
bas ab aur sunna nahi tum saale paagal ho !!,severe
arre tu thoda sudhar yaar,warning
arey ye baat bilkul galat hai soch lo,warning
gandu aadmi hat pagle !!,severe
aise mat bolo ajeeb lagta hai,warning
ghatiya insaan ho tum !!,severe
bas ab aur sunna nahi tum saale paagal ho,severe
hey shaam karo,safe
hi good job yaar shandar!,safe
stop karo ye faltu posts,warning
arey aise mat bolo ajeeb lagta hai,warning
aise mat bolo ajeeb lagta hai,warning
arey bakwas band kar samajh nahi aata kya? thoda,warning
arey ye baat bilkul galat hai soch lo,warning
tera dimag kharab hai yaar,severe
i agree with you on this point,safe
itna bekaar kaam tumhe sharam nahi aati?,severe
kya aap isko thoda aur detail mein bata sakte ho?,safe
bakwas band kar samajh nahi aata kya?,warning
can you explain this please? kya kar rahe ho?,safe
i agree with you on this point,safe
arey jyada bakwaas mat kar yaar,warning
aise mat bolo ajeeb lagta hai,warning
i agree with you on this point,safe
hi i agree with you on this point mast,safe
tu thoda sudhar yaar,warning
bas ab aur sunna nahi tum saale paagal ho,severe
arre stop karo ye faltu posts,warning
hey shaam karo,safe
itna bekaar kaam tumhe sharam nahi aati?,severe
bas ab aur sunna nahi tum saale paagal ho !!,severe
saala bakwas banda hat ja hatao!,severe
stop karo ye faltu posts,warning
jyada bakwaas mat kar yaar,warning
arre tumse expect nahi tha thoda behtar karo please,warning
bas ab aur sunna nahi tum saale paagal ho abhi!,severe
hi thanks for sharing bahut useful hai mast,safe
hi thanks for sharing bahut useful hai,safe
