comment,label
saala bakwas banda hat ja,severe
arre aise mat bolo ajeeb lagta hai,warning
ghatiya insaan ho tum,severe
kya aap isko thoda aur detail mein bata sakte ho?,safe
aise mat bolo ajeeb lagta hai,warning
tumse expect nahi tha thoda behtar karo,warning
hello kya aap isko thoda aur detail mein bata sakte ho?,safe
great work keep it up!,safe
hi great work keep it up!,safe
hi hey shaam karo,safe
hi great work keep it up!,safe
hi thanks for sharing bahut useful hai,safe
tumhara koi ilaaj nahi bas ruk ja,severe
please bhai thoda mature bano,warning
tumse expect nahi tha thoda behtar karo,warning
arre please bhai thoda mature bano,warning
aise mat bolo ajeeb lagta hai,warning
saala bakwas banda hat ja,severe
bas ab aur sunna nahi tum saale paagal ho !,severe
aise mat bolo ajeeb lagta hai abhi,warning
interesting point mujhe pasand aaya,safe
arey tumse expect nahi tha thoda behtar karo,warning
useful info saved it,safe
bakwas band kar samajh nahi aata kya?,warning
hello thanks for sharing bahut useful hai,safe
thanks for sharing bahut useful hai,safe
great work keep it up!,safe
arey ghatiya kaam kiya tumne,warning
arey ghatiya kaam kiya tumne,warning
tu bilkul chutiya hai,severe
good job yaar shandar!,safe
hello useful info saved it,safe
hello interesting point mujhe pasand aaya,safe
arre jyada bakwaas mat kar yaar,warning
ghatiya insaan ho tum saala,severe
stop karo ye faltu posts,warning
hi i agree with you on this point,safe
this helped me a lot thanks,safe
tera dimag kharab hai yaar,severe
jyada bakwaas mat kar yaar,warning
arre chalo theek hai par agli baar dhyaan rakho,warning
jyada bakwaas mat kar yaar thoda,warning
ghatiya insaan ho tum bhag !,severe
kya aap isko thoda aur detail mein bata sakte ho?,safe
saala bakwas banda hat ja,severe
bas ab aur sunna nahi tum saale paagal ho !,severe
kya aap isko thoda aur detail mein bata sakte ho?,safe
ghatiya insaan ho tum,severe
hey thanks for sharing bahut useful hai,safe
great work keep it up!,safe
itna bekaar kaam tumhe sharam nahi aati? !,severe
interesting point mujhe pasand aaya,safe
great work keep it up!,safe
gandu aadmi hat pagle,severe
gandu aadmi hat pagle,severe
hello good job yaar shandar!,safe
tu bilkul chutiya hai,severe
itna bekaar kaam tumhe sharam nahi aati? hatao,severe
itna bekaar kaam tumhe sharam nahi aati? !!,severe
bas ab aur sunna nahi tum saale paagal ho,severe
interesting point mujhe pasand aaya,safe
i agree with you on this point badiya,safe
saala bakwas banda hat ja !!,severe
ghatiya insaan ho tum,severe
bakwas band kar samajh nahi aata kya?,warning
hi great work keep it up!,safe
please bhai thoda mature bano,warning
interesting point mujhe pasand aaya,safe
arre ghatiya kaam kiya tumne,warning
stop karo ye faltu posts,warning
kya bakwaas likhta hai tu band kar !,severe
arey tumse expect nahi tha thoda behtar karo,warning
tera dimag kharab hai yaar !,severe
bas ab aur sunna nahi tum saale paagal ho hatao !!,severe
itna bekaar kaam tumhe sharam nahi aati? !,severe
aise mat bolo ajeeb lagta hai,warning
hi great work keep it up!,safe
arey stop karo ye faltu posts please,warning
great work keep it up!,safe
hi great work keep it up!,safe
ghatiya insaan ho tum,severe
thanks for sharing bahut useful hai,safe
interesting point mujhe pasand aaya,safe
kya aap isko thoda aur detail mein bata sakte ho?,safe
good job yaar shandar!,safe
ghatiya insaan ho tum !!,severe
hi interesting point mujhe pasand aaya,safe
good job yaar shandar!,safe
gandu aadmi hat pagle !!,severe
gandu aadmi hat pagle,severe
saala bakwas banda hat ja,severe
arre tumse expect nahi tha thoda behtar karo,warning
tera dimag kharab hai yaar,severe
jyada bakwaas mat kar yaar,warning
good job yaar shandar!,safe
tu bilkul chutiya hai,severe
please bhai thoda mature bano,warning
gandu aadmi hat pagle,severe
interesting point mujhe pasand aaya,safe
can you explain this please? kya kar rahe ho?,safe
tumse expect nahi tha thoda behtar karo,warning
hi interesting point mujhe pasand aaya,safe
hi hey shaam karo,safe
gandu aadmi hat pagle,severe
arey please bhai thoda mature bano,warning
kya aap isko thoda aur detail mein bata sakte ho?,safe
tera dimag kharab hai yaar,severe
tujhse badi bewakoofi kisi mein nahi,severe
arre stop karo ye faltu posts,warning
hi i agree with you on this point,safe
i agree with you on this point,safe
thanks for sharing bahut useful hai,safe
itna bekaar kaam tumhe sharam nahi aati?!,severe
good job yaar shandar!,safe
hi interesting point mujhe pasand aaya,safe
tumhara koi ilaaj nahi bas ruk ja,severe
can you explain this please? kya kar rahe ho?,safe
bakwas band kar samajh nahi aata kya?,warning
arre ye baat bilkul galat hai soch lo,warning
itna bekaar kaam tumhe sharam nahi aati? !,severe
kya bakwaas likhta hai tu band kar,severe
hello great work keep it up!,safe
kya bakwaas likhta hai tu band kar,severe
