comment,label
"Saala bakwas banda, hat ja. 🙄",severe
"Arre Aise mat bolo, ajeeb lagta hai.",warning
Ghatiya insaan ho tum.,severe
Kya aap isko thoda aur detail mein bata sakte ho?,safe
"Aise mat bolo, ajeeb lagta hai. 👌",warning
"Tumse expect nahi tha, thoda behtar karo.",warning
Hello Kya aap isko thoda aur detail mein bata sakte ho?,safe
"Great work, keep it up! 😒",safe
"Hi Great work, keep it up! 😒",safe
"Hi Hey , shaam karo 🙂 🙄",safe
"Hi Great work, keep it up! 😒 🙄",safe
"Hi Thanks for sharing, bahut useful hai.",safe
"Tumhara koi ilaaj nahi, bas ruk ja. 😡",severe
"Please bhai, thoda mature bano.",warning
"Tumse expect nahi tha, thoda behtar karo. 👍",warning
"Arre Please bhai, thoda mature bano.",warning
"Aise mat bolo, ajeeb lagta hai.",warning
"Saala bakwas banda, hat ja.",severe
"Bas ab aur sunna nahi, tum saale paagal ho. 😡!",severe
"Aise mat bolo, ajeeb lagta hai. abhi 🙂",warning
Interesting point — mujhe pasand aaya. 👌,safe
"Arey Tumse expect nahi tha, thoda behtar karo.",warning
Useful info — saved it 🙏,safe
"Bakwas band kar, samajh nahi aata kya?",warning
"Hello Thanks for sharing, bahot useful hai.",safe
"Thanks for sharing, bahut useful hai. 🙏",safe
"Great work, keep it up! 😒",safe
Arey Ghatiya kaam kiya tumne.,warning
Arey Ghatiya kaam kiya tumne.,warning
Tu bilkul chutiya hai. 🙏,severe
"Good job yaar, shandar!",safe
Hello Useful info — saved it 🙏 😊,safe
Hello Interesting point — mujhe pasand aaya.,safe
Arre Jyada bakwaas mat kar yaar. 😂,warning
Ghatiya insaan ho tum. Saala 😂,severe
Stop karo ye faltu posts.,warning
Hi I agree with you on this point.,safe
"This helped me a lot, thanks.",safe
Tera dimag kharab hai yaar. 😂,severe
Jyada bakwaas mat kar yaar. 😊,warning
"Arre Chalo theek hai, par agli baar dhyaan rakho.",warning
Jyada bakwaas mat kar yaar. thoda 😂😂,warning
Ghatiya insaan ho tum. Bhag 👍!,severe
Kya aap isko thoda aur detail mein bata sakte ho?,safe
"Saala bakwas banda, hat ja. 😡",severe
"Bas ab aur sunna nahi, tum saale paagal ho. 👍!",severe
Kya aap isko thoda aur detail mein bata sakte ho? 🙂,safe
Ghatiya insaan ho tum.,severe
"Hey Thanks for sharing, bahut useful hai. 👌",safe
"Great work, keep it up! 😒",safe
"Itna bekaar kaam, tumhe sharam nahi aati? 😡!",severe
Interesting point — mujhe pasand aaya. 🙂,safe
"Great work, keep it up! 😒",safe
"Gandu aadmi, hat pagle. 😡",severe
"Gandu aadmi, hat pagle.",severe
"Hello Good job yaar, shandar!",safe
Tu bilkul chutiya hai.,severe
"Itna bekaar kaam, tumhe sharam nahi aati? Hatao 😡",severe
"Itna bekaar kaam, tumhe sharam nahi aati? 😂😂!!",severe
"Bas ab aur sunna nahi, tum saale paagal ho.",severe
Interesting point — mujhe pasand aaya.,safe
I agree with you on this point. badiya,safe
"Saala bakwas banda, hat ja. 😡!!",severe
Ghatiya insaan ho tum.,severe
"Bakwas band kar, samajh nahi aata kya?",warning
"Hi Great work, keep it up! 😒",safe
"Please bhai, thoda mature bano.",warning
Interesting point — mujhe pasand aaya.,safe
Arre Ghatiya kaam kiya tumne. 🙄,warning
Stop karo ye faltu posts.,warning
"Kya bakwaas likhta hai tu, band kar. 😂😂!",severe
"Arey Tumse expect nahi tha, thoda behtar karo. 😂",warning
Tera dimag kharab hai yaar. 😊!,severe
"Bas ab aur sunna nahi, tum saale paagal ho. Hatao 😒!!",severe
"Itna bekaar kaam, tumhe sharam nahi aati? 🙏!",severe
"Aise mat bolo, ajeeb lagta hai.",warning
"Hi Great work, keep it up! 😒",safe
Arey Stop karo ye faltu posts. please,warning
"Great work, keep it up! 😒",safe
"Hi Great work, keep it up! 😒",safe
Ghatiya insaan ho tum. 👍,severe
"Thanks for sharing, bahut useful hai. 🙄",safe
Interesting point — mujhe pasand aaya. 👍,safe
Kya aap isko thoda aur detail mein bata sakte ho?,safe
"Good job yaar, shandar!",safe
Ghatiya insaan ho tum. 😡!!!,severe
Hi Interesting point — mujhe pasand aaya.,safe
"Good job yaar, shandar! 😒",safe
"Gandu aadmi, hat pagle. 🙏!!",severe
"Gandu aadmi, hat pagle. 🙂",severe
"Saala bakwas banda, hat ja. 😂",severe
"Arre Tumse expect nahi tha, thoda behtar karo.",warning
Tera dimag kharab hai yaar. 😊,severe
Jyada bakwaas mat kar yaar.,warning
"Good job yaar, shandar!",safe
Tu bilkul chutiya hai.,severe
"Please bhai, thoda mature bano.",warning
